height_cm,weight_kg,category
150,37.1,Underweight
150,41.4,Underweight
150,41.6,Normal
150,48.4,Normal
150,56.0,Normal
150,56.3,Overweight
150,61.9,Overweight
150,67.3,Overweight
150,67.5,Obese
150,74.3,Obese
150,83.3,Obese
150,94.5,Obese
160,42.2,Underweight
160,47.1,Underweight
160,47.4,Normal
160,55.0,Normal
160,63.7,Normal
160,64.0,Overweight
160,70.4,Overweight
160,76.5,Overweight
160,76.8,Obese
160,84.5,Obese
160,94.7,Obese
160,107.5,Obese
170,47.7,Underweight
170,53.2,Underweight
170,53.5,Normal
170,62.1,Normal
170,72.0,Normal
170,72.3,Overweight
170,79.5,Overweight
170,86.4,Overweight
170,86.7,Obese
170,95.4,Obese
170,106.9,Obese
170,121.4,Obese
180,53.5,Underweight
180,59.6,Underweight
180,59.9,Normal
180,69.7,Normal
180,80.7,Normal
180,81.0,Overweight
180,89.1,Overweight
180,96.9,Overweight
180,97.2,Obese
180,106.9,Obese
180,119.9,Obese
180,136.1,Obese
190,59.6,Underweight
190,66.4,Underweight
190,66.8,Normal
190,77.6,Normal
190,89.9,Normal
190,90.3,Overweight
190,99.3,Overweight
190,107.9,Overweight
190,108.3,Obese
190,119.1,Obese
190,133.6,Obese
190,151.6,Obese

