systolic_bp_mm_hg,max_heart_rate_bpm,label
90,60,low_risk_discharge
90,85,low_risk_discharge
90,110,low_risk_discharge
90,120,low_risk_discharge
90,140,low_risk_discharge
90,160,low_risk_discharge
105,60,low_risk_discharge
105,85,low_risk_discharge
105,110,low_risk_discharge
105,120,low_risk_discharge
105,140,low_risk_discharge
105,160,low_risk_discharge
120,60,low_risk_discharge
120,85,low_risk_discharge
120,110,low_risk_discharge
120,120,low_risk_discharge
120,140,low_risk_discharge
120,160,low_risk_discharge
135,60,low_risk_discharge
135,85,low_risk_discharge
135,110,low_risk_discharge
135,120,low_risk_discharge
135,140,low_risk_discharge
135,160,low_risk_discharge
145,60,low_risk_discharge
145,85,low_risk_discharge
145,110,low_risk_discharge
145,120,high_risk_icu
145,140,high_risk_icu
145,160,high_risk_icu
155,60,low_risk_discharge
155,85,low_risk_discharge
155,110,low_risk_discharge
155,120,high_risk_icu
155,140,high_risk_icu
155,160,high_risk_icu
170,60,low_risk_discharge
170,85,low_risk_discharge
170,110,low_risk_discharge
170,120,high_risk_icu
170,140,high_risk_icu
170,160,high_risk_icu
180,60,low_risk_discharge
180,85,low_risk_discharge
180,110,low_risk_discharge
180,120,high_risk_icu
180,140,high_risk_icu
180,160,high_risk_icu
